hotelName,hotelName,lat,lon,lat&lon,latitude,longitude,hotelMinCharge,reviewAverage
ダイワロイネットホテル盛岡駅前,Daiwa Roynet Hotel Morioka Ekimae,39.70208,141.13946,"39.70208374497572, 141.13946360927363",142916.27,508113.04,4000,4.51
天然温泉　さんさの湯　ドーミーイン盛岡（ドーミーイン・御宿野乃　ホテルズグループ）,Natural Hot Spring Sansa-no-yu Dormy Inn Morioka,39.70604,141.14462,"39.70604760417935, 141.14462945784717",142929.02,508133.56,5200,4.47
ダイワロイネットホテル盛岡,Daiwa Roynet Hotel Morioka,39.70409,141.14771,"39.704097803660055, 141.14771935626874",142922.15,508144.57,3500,4.34
アートホテル盛岡,Art Hotel Morioka,39.70462,141.14250,"39.70462207080801, 141.14250538853472",142923.84,508125.54,2670,4.29
リッチモンドホテル盛岡駅前,Richmond Hotel,39.70298,141.13723,"39.70298401848006, 141.13723917318904",142918.1,508106.39,4330,4.58
ホテルニューカリーナ,Hotel New CARINA,39.70230,141.14593,"39.70230796185402, 141.14593021181068",142915.74,508137.41,2725,4.04
ホテルエース盛岡,Hotel Ace Morioka,39.70492,141.14487,"39.70492076499802, 141.14487454991288",142925.03,508133.3,2750,3.9
ホテルルートイン矢巾,HOTEL ROUTE-INN Yahaba,39.61767,141.16429,"39.61767945136479, 141.16429334242875",142609.07,508204.21,4025,4.45
天然温泉　百万石の湯　スーパーホテル矢巾駅東口,Super Hotel Yahaba Ekihigashiguchi,39.61451,141.15220,"39.614519227319704, 141.1522070424261",142598.61,508159.98,2940,4.59
ホテルルートイン盛岡駅前,Hotel Route Inn Morioka Station,39.70134,141.13833,"39.7013466162114, 141.13833558112108",142912.39,508111.04,4375,4.21
ホテルメトロポリタン盛岡　本館,Hotel Metropolitan Morioka,39.70342,141.13592,"39.70342230816078, 141.13592870440135",142920.5,508101.04,5100,4.27
盛岡グランドホテルアネックス,Morioka Grand Hotel Annex,39.70459,141.14812,"39.70459798834526, 141.14812777319028",142923.71,508145.38,3600,3.96
ＨＯＴＥＬ　ＪＩＮ盛岡駅前,HOTEL JIN,39.70346,141.13145,"39.70346693135339, 141.13145630387825",142919.67,508085.27,2850,4.02
ホテルロイヤル盛岡,HOTEL ROYAL MORIOKA,39.70233,141.14693,"39.70233087990399, 141.14693977318842",142914.91,508140.73,4446,4.5
ユニゾインエクスプレス盛岡,UNIZO INN Express Morioka,39.70056,141.13250,"39.700569204570925, 141.13250915784263",142909.9,508090.07,2880,3.71
ホテルパールシティ盛岡　,Hotel Pearl City Morioka,39.70406,141.14103,"39.70406199501495, 141.14103689646763",142921.69,508120.15,3700,3.77
ホテルブライトイン盛岡,Hotel Bright Inn Morioka,39.70074,141.15471,"39.70074180491738, 141.15471672881236",142909.57,508168.94,3000,4.16
天然温泉　りんどうの湯　スーパーホテル盛岡,Super Hotel Morioka,39.70781,141.13453,"39.70781208559885, 141.13453435784862",142935.42,508096.54,3770,4.1
北ホテル＜岩手県＞,Kita Hotel,39.70497,141.15324,"39.70497241787317, 141.15324719646833",142924.34,508164.78,3150,4.1
盛岡つなぎ温泉　四季亭,Shikitei ,39.67385,141.02406,"39.67385213885919, 141.02406334247567",142812.64,507698.65,13200,4.68
盛岡つなぎ温泉　ホテル紫苑,Hotel Shion,39.67992,141.02567,"39.67992623718797, 141.0256721885141",142834.03,507705.91,11000,4.49
盛岡シティホテル,Morioka City Hotel,39.70251,141.13823,"39.702516205015804, 141.13823787318867",142916.82,508109.88,2850,3.73
Ｒ＆Ｂホテル盛岡駅前,R&B Hotel Morioka Ekimae,39.70328,141.13786,"39.703287568915144, 141.13786025784472",142919.37,508108.67,4100,3.58
ホテル小田島,Hotel Odashima,39.70552,141.14767,"39.705526313284295, 141.14767739785992",142927.52,508144.21,2750,3.7
盛岡つなぎ温泉　湯守　ホテル大観,Hotel Taikan,39.67687,141.02274,"39.676875180826755, 141.02274877316725",142821.81,507691.39,10450,3.95
東横ＩＮＮ盛岡駅前,Toyoko Inn Morioka Ekimae,39.70343,141.13744,"39.70343631769189, 141.13744703164474",142919.83,508106.52,4568,3.76
盛岡ニューシティホテル,Morioka New City,39.70405,141.13747,"39.7040514426619, 141.1374742271566",142921.75,508107.58,3050,3.68
東横ＩＮＮ盛岡駅南口駅前,Toyoko Inn Morioka-eki Minami-guchi Ekimae,39.70229,141.13907,"39.70229384370526, 141.13907542715515",142915.17,508113.59,4410,3.9
ＨＯＴＥＬ　ＭＡＺＡＲＩＵＭ（ホテル　マザリウム）,Hotel Mazarium,39.70043,141.15732,"39.70043797863545, 141.15732171180903",142908.1,508179.31,4950,4.53
ホテルメトロポリタン盛岡ニューウイング,HOTEL METROPOLITAN MORIOKA NEW WING,39.70509,141.13678,"39.70509709724113, 141.13678991181308",142925.36,508104.43,5000,4.38